Project ID,Monitoring Location ID,Activity Media Name,Activity Media Subdivision Name,Activity ID,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Latitude,Activity Longitude,Activity Type,Activity Depth/Height Measure,Activity Depth/Height Unit,Activity Comment,Characteristic Name,Result Analytical Method ID,Result Analytical Method Context,Result Value,Result Unit,Result Qualifier,Result Weight Basis,Result Sample Fraction,Result Value Type,Sample Collection Equipment Name,Result Detection Condition,Result Status ID,Result Detection Limit Type 1,Result Detection Limit Value 1,Result Detection Limit Unit 1,Result Detection Limit Type 2,Result Detection Limit Value 2,Result Detection Limit Unit 2,Laboratory Name,Laboratory Comment Text,Analysis Start Date,Analysis Start Time,Analysis Start Time Zone,Thermal Preservative,Sample Container Type,Sample Container Color,Chemical Preservative Used,,"Activity Horizontal Collection Method, Activity Horizontal Reference Datum, Analysis Start Time, Characteristic Name, Result Status ID"
10000007,KENAI_WQX-10000032,Water,Surface Water,KBL_t_74.0-2021-05-11-Total P,5/11/2021,9:29:00,AKDT,60.484622,-149.993955,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.242,mg/L,=,Sampled,Total,Actual,Water Bottle,NA,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341017,5/18/2021,19:11:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000016,Water,Surface Water,KBL_m_10.1-2021-05-11-Total P,5/11/2021,10:30:00,AKDT,60.539279,-151.142263,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0141,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341020,5/18/2021,19:14:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000015,Water,Surface Water,KBL_t_10.0-2021-05-11-Total P,5/11/2021,10:05:00,AKDT,60.548029,-151.14324,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0843,mg/L,=,Sampled,Total,Actual,Water Bottle,NA,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341019,5/18/2021,19:13:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000017,Water,Surface Water,KBL_m_12.5-2021-05-11-Total P,5/11/2021,10:50:00,AKDT,60.533743,-151.099258,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0195,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341021,5/18/2021,19:15:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000018,Water,Surface Water,KBL_m_18.0-2021-05-11-Total P,5/11/2021,11:25:00,AKDT,60.502005,-151.106973,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0178,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341022,5/18/2021,19:15:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000020,Water,Surface Water,KBL_t_19.0-2021-05-11-Total P,5/11/2021,12:05:00,AKDT,60.482318,-151.127053,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0286,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341023,5/18/2021,19:18:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000021,Water,Surface Water,KBL_m_21.0-2021-05-11-Total P,5/11/2021,12:05:00,AKDT,60.476634,-151.082099,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0472,mg/L,=,Sampled,Total,Actual,Water Bottle,NA,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341024,5/18/2021,19:19:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000022,Water,Surface Water,KBL_t_22.0-2021-05-11-Total P,5/11/2021,11:34:00,AKDT,60.483364,-151.057656,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0804,mg/L,=,Sampled,Total,Actual,Water Bottle,NA,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341005,5/18/2021,18:51:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000023,Water,Surface Water,KBL_m_23.0-2021-05-11-Total P,5/11/2021,11:06:00,AKDT,60.480338,-151.030847,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0163,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341006,5/18/2021,18:52:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000024,Water,Surface Water,KBL_t_30.0-2021-05-11-Total P,5/11/2021,9:06:00,AKDT,60.489963,-150.860982,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0396,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341008,5/18/2021,18:56:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000025,Water,Surface Water,KBL_m_31.0-2021-05-11-Total P,5/11/2021,10:13:00,AKDT,60.498284,-150.863121,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0392,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341007,5/18/2021,18:53:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000025,Water,Surface Water,KBL_m_31.0-2021-05-11-Total P-DUP,5/11/2021,10:13:00,AKDT,60.498284,-150.863121,Quality Control Field Replicate Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0174,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341009,5/18/2021,18:57:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000026,Water,Surface Water,KBL_t_36.0-2021-05-11-Total P,5/11/2021,10:50:00,AKDT,60.53687,-150.754724,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0391,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341010,5/18/2021,18:57:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000027,Water,Surface Water,KBL_m_40.0-2021-05-11-Total P,5/11/2021,9:50:00,AKDT,60.515441,-150.702069,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,NA,mg/L,U,Sampled,Total,Actual,Water Bottle,Not Detected,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341011,5/18/2021,18:58:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
