"","monitoring_location_id","activity_media_name","activity_media_subdivision_name","activity_id","activity_start_date","activity_start_time","activity_end_date","activity_end_time","activity_latitude","activity_longitude","activity_source_map_scale","activity_type","activity_depth_height_measure","activity_depth_height_unit","activity_top_depth_height_measure","activity_top_depth_height_unit","activity_bottom_depth_height_measure","activity_bottom_depth_height_unit","activity_relative_depth_name","activity_comment","characteristic_name","result_analytical_method_id","result_analytical_method_context","method_speciation","result_value","result_unit","result_qualifier","result_weight_basis","statistical_base_code","result_sample_fraction","result_value_type","result_comment","sample_collection_method_id","equipment_id","result_detection_condition","result_detection_limit_type_1","result_detection_limit_value_1","result_detection_limit_unit_1","result_detection_limit_type_2","result_detection_limit_value_2","result_detection_limit_unit_2","laboratory_accreditation_indicator","laboratory_name","laboratory_sample_id","analysis_start_date","analysis_start_time","biological_intent","subject_taxonomic_name","thermal_preservative","sample_container_type","sample_container_color","chemical_preservative","resultFlag"
"11","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-As-DUP","2021-05-11","10:20:00",NA,NA,60.550888,"-151.268417",NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Arsenic","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",2.5,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341053","2021-05-21","09:43:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3",NA
"12","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cd-DUP","2021-05-11","10:20:00",NA,NA,60.550888,"-151.268417",NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Cadmium","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.25,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341053","2021-05-21","09:43:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3",NA
"13","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cr-DUP","2021-05-11","10:20:00",NA,NA,60.550888,"-151.268417",NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Chromium","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",2.5,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341053","2021-05-21","09:43:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3",NA
"14","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cu-DUP","2021-05-11","10:20:00",NA,NA,60.550888,"-151.268417",NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Copper","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",1,"ug/L","Method Detection Level",0.5,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341053","2021-05-21","09:43:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3",NA
"15","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Pb-DUP","2021-05-11","10:20:00",NA,NA,60.550888,"-151.268417",NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Lead","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.2,"ug/L","Method Detection Level",0.1,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341053","2021-05-21","09:43:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3",NA
"16","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Zn-DUP","2021-05-11","10:20:00",NA,NA,60.550888,"-151.268417",NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Zinc","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",10,"ug/L","Method Detection Level",5,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341053","2021-05-21","09:43:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3",NA
"17","KR RM 74 RR","Water","Surface Water","KR RM 74 RR-2021-05-11-Total Nitrate/Nitrite-N","2021-05-11","09:29:00",NA,NA,60.484622,"-149.993955",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Total Nitrate/Nitrite-N","4500-NO3(F)","APHA",NA,0.198,"mg/L","J","Sampled",NA,"Total","Actual",NA,NA,"Water Bottle","Present Below Quantification Limit","Limit of Quantitation",0.2,"mg/L","Method Detection Level",0.1,"mg/L",NA,"SGS North America, Anchorage, Alaska","1212341017","2021-05-15","13:42:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","H2SO4",NA
"18","KR RM 74 RR","Water","Surface Water","KR RM 74 RR-2021-05-11-Total P","2021-05-11","09:29:00",NA,NA,60.484622,"-149.993955",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Total Phosphorus","4500-P-E","APHA",NA,0.242,"mg/L","=","Sampled",NA,"Total","Actual",NA,NA,"Water Bottle",NA,"Limit of Quantitation",0.04,"mg/L","Method Detection Level",0.02,"mg/L",NA,"SGS North America, Anchorage, Alaska","1212341017","2021-05-18","19:11:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","H2SO4",NA
"19","KR RM 74 RR","Water","Surface Water","KR RM 74 RR-2021-05-11-As","2021-05-11","09:30:00",NA,NA,60.484622,"-149.993955",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Arsenic","200.8","USEPA",NA,1.79,"ug/L","J","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Present Below Quantification Limit","Limit of Quantitation",5,"ug/L","Method Detection Level",2.5,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341056","2021-05-21","11:26:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3",NA
"20","KR RM 74 RR","Water","Surface Water","KR RM 74 RR-2021-05-11-Cd","2021-05-11","09:30:00",NA,NA,60.484622,"-149.993955",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Cadmium","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.25,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341056","2021-05-21","11:26:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3",NA
