,sample,collect_date,sample_type,sample_condition,sample_condition_abbrv,analyte,lab_name,result
210,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Thallium,"SGS North America, Anchorage, Alaska",NA
211,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Tin,"SGS North America, Anchorage, Alaska",NA
212,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Titanium,"SGS North America, Anchorage, Alaska",NA
213,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Vanadium,"SGS North America, Anchorage, Alaska",NA
214,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Zinc,"SGS North America, Anchorage, Alaska",NA
215,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Sodium,"SGS North America, Anchorage, Alaska",42700
243,RM_0_No_Name_Creek,7/27/2021,PS,Field Duplicate,DUP,Total Nitrate/Nitrite-N,"SGS North America, Anchorage, Alaska",NA
244,RM_0_No_Name_Creek,7/27/2021,PS,Field Duplicate,DUP,Total Phosphorus,"SGS North America, Anchorage, Alaska",NA
772,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Fecal Coliform,"Taurianen Engineering and Testing, Soldotna, Alaska",40
773,RM_0_No_Name_Creek,7/27/2021,PS,Field Duplicate,DUP,Fecal Coliform,"Taurianen Engineering and Testing, Soldotna, Alaska",45
676,Rm_0_No_Name_Creek,7/27/2021,SMPL,NA,NA,"Calcium, Total","ALS Environmental, Kelso, Washington",13.8
677,Rm_0_No_Name_Creek,7/27/2021,SMPL,NA,NA,"Iron, Total","ALS Environmental, Kelso, Washington",2.39
678,Rm_0_No_Name_Creek,7/27/2021,SMPL,NA,NA,"Magnesium, Total","ALS Environmental, Kelso, Washington",7.23
679,RM_0_No_Name_Creek,7/27/2021,SMPL,Field Duplicate,DUP,"Calcium, Total","ALS Environmental, Kelso, Washington",13.7
680,RM_0_No_Name_Creek,7/27/2021,SMPL,Field Duplicate,DUP,"Iron, Total","ALS Environmental, Kelso, Washington",2.51
681,RM_0_No_Name_Creek,7/27/2021,SMPL,Field Duplicate,DUP,"Magnesium, Total","ALS Environmental, Kelso, Washington",6.95
216,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Aluminum,"SGS North America, Anchorage, Alaska",NA
217,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Antimony,"SGS North America, Anchorage, Alaska",NA
218,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Arsenic,"SGS North America, Anchorage, Alaska",NA
219,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Barium,"SGS North America, Anchorage, Alaska",11.9
220,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Beryllium,"SGS North America, Anchorage, Alaska",NA
221,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Cadmium,"SGS North America, Anchorage, Alaska",NA
222,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Calcium,"SGS North America, Anchorage, Alaska",16300
223,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Chromium,"SGS North America, Anchorage, Alaska",NA
224,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Cobalt,"SGS North America, Anchorage, Alaska",NA
225,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Copper,"SGS North America, Anchorage, Alaska",NA
226,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Iron,"SGS North America, Anchorage, Alaska",625
227,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Lead,"SGS North America, Anchorage, Alaska",NA
228,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Magnesium,"SGS North America, Anchorage, Alaska",6960
229,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Manganese,"SGS North America, Anchorage, Alaska",149
230,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Molybdenum,"SGS North America, Anchorage, Alaska",NA
231,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Nickel,"SGS North America, Anchorage, Alaska",NA
232,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Phosphorus,"SGS North America, Anchorage, Alaska",NA
233,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Potassium,"SGS North America, Anchorage, Alaska",2910
234,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Selenium,"SGS North America, Anchorage, Alaska",NA
235,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Silicon,"SGS North America, Anchorage, Alaska",9740
